id,Title,Date,Link,Info,Location
Info,Info Session,Sept. 27 @ 10PM EST,https://cmu.zoom.us/j/8620443535,,
OH,Office Hours (optional),Oct. 01 @ TBD,https://cmu.zoom.us/j/8620443535,,
Portfolio,Portfolio Deadline,Oct. 07 @ 11:59PM EST,https://drive.google.com/file/d/1Og3skfQ5C6ozaFQ6t9MuayNnMa4lmjbO/view?usp=sharing,,
Reviews,Informal Reviews/Interviews,Oct. 08 - Oct.09,https://cmu.zoom.us/j/8620443535,Will be scheduled via email.,
Resubmission,Portfolio Resubmission,Oct. 15 @ 11:59PM EST,,Email final portfolio to design@lunargala.org,
Final,Final Decisions,Oct. 17,,,,
Meeting,First Meeting,Oct. 18,,,,
ProductionApp,Application Deadline,Dec. 17,https://docs.google.com/forms/d/e/1FAIpQLSc_vkhA6KWCoCI6LYk8y12dH2JvPa5dasNvGbwjZ_91yJqNFw/viewform?usp=send_form,,,
SoundApp,Application Deadline,Jan. 30,https://docs.google.com/forms/d/e/1FAIpQLSf0XmYFo5uPxw3WBRFdHAWwwXgpw1mLyP4K41_lc-wSEpp5sQ/viewform?usp=send_form,,,
preTraining,Pre-Audition Training (optional),Sept. 27 & 29 @ 10PM-12AM EST,,Bring Heels,Tepper Simmons A
Audition,Auditions,TBD,,Bring 4+ inch heels and wear black tight fitting clothes,,
modelInfo,Info Session,Sept. 27 @ 10PM EST,https://cmu.zoom.us/j/8620443535,,,,
modelDecisions,Final Decisions,Oct. 09,,,,
firstPractice,First Model Practice,Oct. 11 @ 10PM-12AM,,,,
CinematographyApp,Application Deadline,Nov. 14,https://docs.google.com/forms/d/e/1FAIpQLSe3SLCfFBIVhKoVYOOHcndEOHC3-uMVJDjoGjYQbgQduAyZaQ/viewform,,,
